client_id,age_bracket,job,marital,education,has_housing_loan,has_personal_loan,prev_call_duration,days_since_last_call,num_contacts_prev,poutcome,contact_date,cpi,subs_deposit
41020,41-60,white-collar,divorced,bachelors,yes,no,283,3,1,success,07/09/18,92.379,1
23720,60+,other,divorced,secondary,no,yes,169,6,2,success,05/07/18,94.215,1
29378,41-60,white-collar,married,bachelors,no,no,552,999,0,nonexistent,01/08/18,93.444,1
36636,25-40,technician,single,senior_secondary,yes,yes,206,999,0,nonexistent,02/11/18,93.2,0
38229,18-24,white-collar,single,bachelors,no,no,341,999,0,nonexistent,04/04/18,93.075,1
27202,25-40,self-employed,married,secondary,no,no,81,999,0,nonexistent,06/08/18,93.444,0
1409,60+,white-collar,married,bachelors,no,no,1076,6,1,success,07/05/18,92.893,1
24379,41-60,other,married,senior_secondary,no,no,133,999,0,nonexistent,06/07/18,93.918,0
10036,25-40,blue-collar,married,secondary,no,no,253,999,1,failure,03/05/18,92.893,0
18115,41-60,self-employed,married,bachelors,no,no,467,999,0,nonexistent,01/06/18,94.465,1
9657,41-60,other,married,secondary,yes,no,828,999,0,nonexistent,03/05/18,93.994,1
36570,41-60,white-collar,divorced,bachelors,no,no,558,999,0,nonexistent,02/11/18,93.2,1
17874,25-40,self-employed,single,masters,yes,no,207,999,0,nonexistent,07/06/18,92.963,0
8918,41-60,white-collar,married,senior_secondary,yes,no,695,999,0,nonexistent,03/05/18,93.994,1
25792,25-40,white-collar,married,bachelors,yes,no,908,999,0,nonexistent,02/07/18,93.918,1
1769,25-40,pink-collar,married,secondary,yes,no,102,999,1,failure,07/05/18,92.893,0
36904,25-40,technician,divorced,senior_secondary,no,no,50,999,0,nonexistent,02/11/18,93.2,0
26580,25-40,technician,married,masters,no,no,174,999,0,nonexistent,06/08/18,93.444,0
32477,41-60,self-employed,married,bachelors,yes,no,128,999,0,nonexistent,05/10/18,92.431,0
31527,25-40,technician,married,masters,no,yes,118,999,0,nonexistent,03/08/18,93.444,0
1164,41-60,entrepreneur,married,senior_secondary,no,yes,127,999,0,nonexistent,07/05/18,93.994,0
14882,25-40,other,single,unknown,no,no,301,999,0,nonexistent,04/06/18,92.963,1
41076,25-40,technician,single,bachelors,no,no,152,999,0,nonexistent,07/09/18,94.199,0
1025,41-60,white-collar,married,unknown,no,no,285,999,0,nonexistent,07/05/18,93.994,0
16064,25-40,white-collar,single,bachelors,yes,yes,87,999,0,nonexistent,06/06/18,94.465,0
36095,25-40,blue-collar,single,secondary,no,no,197,999,0,nonexistent,01/11/18,93.2,0
37275,41-60,technician,married,senior_secondary,no,no,620,999,0,nonexistent,03/12/18,92.713,1
16755,41-60,white-collar,married,bachelors,no,no,521,999,0,nonexistent,06/06/18,94.465,0
29689,41-60,technician,single,bachelors,yes,no,763,999,0,nonexistent,01/08/18,93.444,1
31756,41-60,technician,married,bachelors,yes,no,119,999,0,nonexistent,03/08/18,93.444,0
8529,25-40,pink-collar,married,bachelors,yes,no,102,999,0,nonexistent,03/05/18,93.994,0
26181,41-60,technician,married,senior_secondary,yes,no,126,999,0,nonexistent,02/07/18,93.918,0
14920,60+,other,married,secondary,yes,no,257,999,0,nonexistent,04/06/18,92.963,1
33914,25-40,white-collar,single,bachelors,yes,no,324,999,0,nonexistent,05/11/18,947.67,0
32874,25-40,white-collar,married,bachelors,no,no,371,999,1,failure,03/10/18,92.431,1
10282,41-60,pink-collar,married,senior_secondary,yes,no,974,999,0,nonexistent,03/05/18,92.893,1
37825,25-40,white-collar,married,bachelors,no,no,709,999,0,nonexistent,01/03/18,92.843,1
20797,25-40,blue-collar,single,secondary,yes,no,111,999,0,nonexistent,04/07/18,93.918,0
15080,25-40,blue-collar,single,senior_secondary,no,no,956,999,0,nonexistent,05/06/18,94.465,1
9753,25-40,blue-collar,single,secondary,no,yes,252,999,0,nonexistent,03/05/18,92.893,0
37697,25-40,technician,single,masters,yes,no,459,999,0,nonexistent,06/03/18,93.369,1
26038,25-40,white-collar,married,bachelors,no,no,1009,999,0,nonexistent,02/07/18,93.918,1
38928,25-40,white-collar,married,bachelors,yes,no,970,999,1,failure,05/04/18,93.075,1
32515,25-40,white-collar,married,bachelors,no,no,281,999,2,failure,05/10/18,92.431,1
2544,25-40,white-collar,married,bachelors,no,no,90,999,0,nonexistent,07/05/18,92.893,0
32179,25-40,other,single,bachelors,yes,no,145,999,0,nonexistent,03/08/18,93.444,0
39138,18-24,other,single,unknown,yes,no,156,999,0,nonexistent,06/04/18,93.075,1
39967,25-40,technician,single,masters,no,no,217,999,0,nonexistent,02/04/18,93.075,0
23696,41-60,white-collar,single,secondary,yes,yes,392,6,1,success,05/07/18,94.215,1
20341,25-40,white-collar,married,bachelors,no,yes,255,999,0,nonexistent,03/07/18,93.918,0
8363,41-60,self-employed,divorced,bachelors,no,no,661,999,0,nonexistent,02/05/18,93.876,1
6959,25-40,white-collar,married,senior_secondary,no,no,469,999,0,nonexistent,02/05/18,93.994,0
22874,25-40,other,single,senior_secondary,yes,no,853,999,0,nonexistent,05/07/18,93.918,1
38440,25-40,white-collar,married,bachelors,yes,no,124,999,0,nonexistent,05/04/18,93.075,0
34721,41-60,pink-collar,divorced,bachelors,unknown,unknown,262,999,1,failure,06/11/18,947.67,1
2272,41-60,self-employed,married,bachelors,yes,no,379,999,0,nonexistent,07/05/18,92.893,0
4030,25-40,blue-collar,married,secondary,no,no,189,999,0,nonexistent,01/05/18,93.994,0
15868,25-40,technician,married,masters,yes,no,993,3,1,success,05/06/18,92.963,1
37538,25-40,white-collar,single,senior_secondary,yes,yes,257,999,0,nonexistent,05/03/18,93.369,1
40243,41-60,blue-collar,married,secondary,no,no,220,999,0,nonexistent,02/04/18,93.075,0
39189,25-40,entrepreneur,married,bachelors,yes,no,486,999,0,nonexistent,06/04/18,93.075,0
6787,25-40,blue-collar,single,bachelors,yes,yes,165,999,0,nonexistent,02/05/18,93.994,0
17460,25-40,blue-collar,married,secondary,no,yes,640,999,0,nonexistent,07/06/18,94.465,0
24473,25-40,technician,single,unknown,yes,no,238,999,0,nonexistent,06/07/18,93.918,0
21090,18-24,blue-collar,single,senior_secondary,yes,no,60,999,0,nonexistent,04/07/18,93.918,0
13544,25-40,white-collar,single,secondary,yes,yes,156,999,0,nonexistent,04/05/18,92.893,0
8812,25-40,white-collar,married,unknown,yes,no,170,999,0,nonexistent,03/05/18,93.994,0
37599,25-40,white-collar,single,bachelors,yes,no,164,999,0,nonexistent,06/03/18,92.843,0
2569,25-40,technician,married,bachelors,yes,no,288,3,1,success,07/05/18,92.893,1
19956,41-60,blue-collar,married,secondary,yes,yes,188,999,0,nonexistent,03/07/18,93.918,0
27839,41-60,technician,married,masters,no,no,926,999,0,nonexistent,07/08/18,93.444,1
8260,25-40,white-collar,married,bachelors,yes,yes,242,7,1,success,02/05/18,92.893,1
21504,25-40,white-collar,married,bachelors,yes,no,957,999,0,nonexistent,04/07/18,93.918,1
